app_id,apply_month,age,income,credit_score,loan_amount,debt_ratio,employment_type,residence_years,overdue_times,bad_flag
APP000000,2023-05,23.0,44272.0,474.0,125743.0,0.6444899735928724,employed,19.0,3.0,0.0
APP000001,2024-07,50.0,5916.0,763.0,166698.0,0.32140403630695674,employed,11.0,4.0,0.0
APP000002,2023-08,46.0,21683.0,319.0,129837.0,0.7666810701718899,self_employed,0.0,0.0,1.0
APP000003,2024-01,37.0,,545.0,120848.0,0.2168794442368056,employed,17.0,1.0,
APP000004,2024-10,37.0,40500.0,740.0,,0.4845541410779623,employed,19.0,0.0,0.0
APP000005,2023-05,54.0,9064.0,824.0,52746.0,0.16572529543426423,employed,5.0,2.0,0.0
APP000006,2023-11,23.0,23400.0,438.0,59749.0,0.4457705547472578,self_employed,8.0,2.0,0.0
APP000007,2023-05,47.0,10159.0,657.0,150406.0,0.1372198580805476,unemployed,0.0,0.0,0.0
APP000008,2023-11,28.0,40018.0,404.0,18613.0,0.14542076193436973,unemployed,16.0,3.0,0.0
APP000009,2023-08,23.0,32717.0,363.0,21473.0,0.5510010393378141,unemployed,15.0,0.0,1.0
APP000010,2024-10,41.0,26346.0,494.0,82349.0,0.23740743795819005,unemployed,0.0,3.0,0.0
APP000011,2023-08,59.0,21467.0,786.0,156011.0,0.15513050390782257,self_employed,14.0,3.0,0.0
APP000012,2024-03,49.0,,679.0,133121.0,0.8367914251215658,employed,8.0,4.0,0.0
APP000013,2023-04,50.0,46327.0,569.0,120047.0,0.03870292566604596,self_employed,10.0,0.0,0.0
APP000014,2023-11,48.0,33440.0,455.0,109155.0,0.5086333014262985,employed,4.0,4.0,1.0
APP000015,2024-09,51.0,18000.0,377.0,26596.0,0.49343745764993874,employed,16.0,2.0,0.0
APP000016,2024-05,40.0,22455.0,448.0,69699.0,,employed,8.0,4.0,
APP000017,2023-07,25.0,37130.0,383.0,20503.0,0.40749457060153604,unemployed,16.0,3.0,0.0
